s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 4.4527751E+001, 1.7576060E+001, 1.9451787E-001, 3.0000000E+001, 2.9624838E+001, 2.9103733E+001, 3.0038861E+001
 4.4873054E+001, 1.7510224E+001, 1.8677372E-001, 3.0000000E+001, 2.9692788E+001, 2.9161256E+001, 3.0131922E+001
 4.5045706E+001, 1.7443865E+001, 1.8590544E-001, 3.0000000E+001, 2.9765410E+001, 2.9225002E+001, 3.0238593E+001
 4.5391009E+001, 1.7379258E+001, 1.8699795E-001, 3.0000000E+001, 2.9845547E+001, 2.9252593E+001, 3.0395917E+001
 4.5563661E+001, 1.7318304E+001, 1.8848672E-001, 3.0000000E+001, 2.9932637E+001, 2.9281264E+001, 3.0521959E+001
 4.5889545E+001, 1.7259049E+001, 1.9011339E-001, 3.0000000E+001, 3.0021491E+001, 2.9333971E+001, 3.0615278E+001
 4.6042776E+001, 1.7200682E+001, 1.9145451E-001, 3.0000000E+001, 3.0110544E+001, 2.9406036E+001, 3.0689402E+001
 4.6349239E+001, 1.7142844E+001, 1.9430706E-001, 3.0000000E+001, 3.0199860E+001, 2.9504108E+001, 3.0747956E+001
 4.6502471E+001, 1.7087534E+001, 2.0189427E-001, 3.0000000E+001, 3.0289108E+001, 2.9622391E+001, 3.0803922E+001
 4.6808934E+001, 1.7034137E+001, 2.1542931E-001, 3.0000000E+001, 3.0376651E+001, 2.9752835E+001, 3.0863553E+001
 4.7115397E+001, 1.6962381E+001, 2.3453939E-001, 3.0000000E+001, 3.0488253E+001, 2.9929160E+001, 3.0947565E+001
 4.7268629E+001, 1.6906763E+001, 2.4313486E-001, 3.0000000E+001, 3.0566089E+001, 3.0058226E+001, 3.1006749E+001
 4.7575092E+001, 1.6850930E+001, 2.5009101E-001, 3.0000000E+001, 3.0637388E+001, 3.0180175E+001, 3.1061801E+001
 4.7881555E+001, 1.6779783E+001, 2.4790597E-001, 3.0000000E+001, 3.0724956E+001, 3.0334713E+001, 3.1137041E+001
 4.8034786E+001, 1.6730091E+001, 2.3845982E-001, 3.0000000E+001, 3.0784618E+001, 3.0414323E+001, 3.1192355E+001
 4.8341249E+001, 1.6680793E+001, 2.2695832E-001, 3.0000000E+001, 3.0837562E+001, 3.0412479E+001, 3.1238514E+001
 4.8647713E+001, 1.6611306E+001, 2.1464877E-001, 3.0000000E+001, 3.0896271E+001, 3.0395182E+001, 3.1272559E+001
 4.8800944E+001, 1.6556648E+001, 2.1021150E-001, 3.0000000E+001, 3.0929926E+001, 3.0373225E+001, 3.1281878E+001
