s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 8.0224077E+001, 1.8060671E+001, 3.3123443E+000, 3.0000000E+001, 2.1124421E+001, 2.0096425E+001, 2.2151099E+001
 8.0939704E+001, 1.8130618E+001, 3.3910652E+000, 3.0000000E+001, 2.1106148E+001, 2.0091328E+001, 2.2172846E+001
 8.1628719E+001, 1.8197080E+001, 3.4679161E+000, 3.0000000E+001, 2.1134428E+001, 2.0079861E+001, 2.2249276E+001
 8.2593340E+001, 1.8274008E+001, 3.5711027E+000, 3.0000000E+001, 2.1184214E+001, 2.0204448E+001, 2.2334009E+001
 8.3351257E+001, 1.8356205E+001, 3.6419330E+000, 3.0000000E+001, 2.1219692E+001, 2.0419068E+001, 2.2409699E+001
 8.4082129E+001, 1.8427504E+001, 3.6899165E+000, 3.0000000E+001, 2.1186316E+001, 2.0349795E+001, 2.2465621E+001
 8.4984508E+001, 1.8507543E+001, 3.7170657E+000, 3.0000000E+001, 2.1155142E+001, 2.0189690E+001, 2.2460181E+001
 8.5661292E+001, 1.8585223E+001, 3.7417425E+000, 3.0000000E+001, 2.1235385E+001, 2.0121862E+001, 2.2544175E+001
 8.6405754E+001, 1.8662635E+001, 3.7675342E+000, 3.0000000E+001, 2.1392370E+001, 2.0351888E+001, 2.2630259E+001
 8.7398370E+001, 1.8748840E+001, 3.8036375E+000, 3.0000000E+001, 2.1508365E+001, 2.0626923E+001, 2.2714220E+001
 8.8142832E+001, 1.8832498E+001, 3.8442232E+000, 3.0000000E+001, 2.1500621E+001, 2.0564716E+001, 2.2709767E+001
 8.8887295E+001, 1.8897169E+001, 3.8825993E+000, 3.0000000E+001, 2.1400491E+001, 2.0348054E+001, 2.2640247E+001
 8.9631757E+001, 1.8956610E+001, 3.9238333E+000, 3.0000000E+001, 2.1231306E+001, 2.0141726E+001, 2.2634342E+001
 9.0624373E+001, 1.9027070E+001, 3.9749659E+000, 3.0000000E+001, 2.1009457E+001, 2.0053040E+001, 2.2562119E+001
 9.1368835E+001, 1.9094554E+001, 4.0210326E+000, 3.0000000E+001, 2.0800524E+001, 2.0019275E+001, 2.2206790E+001
 9.2131315E+001, 1.9151498E+001, 4.0474212E+000, 3.0000000E+001, 2.0666907E+001, 2.0014670E+001, 2.1821301E+001
 9.2855381E+001, 1.9205556E+001, 4.0728506E+000, 3.0000000E+001, 2.0602535E+001, 2.0015837E+001, 2.1562961E+001
 9.3820804E+001, 1.9267774E+001, 4.1022123E+000, 3.0000000E+001, 2.0569016E+001, 2.0036515E+001, 2.1400125E+001
 9.4544871E+001, 1.9328800E+001, 4.1341620E+000, 3.0000000E+001, 2.0522853E+001, 2.0060542E+001, 2.1228503E+001
 9.5268938E+001, 1.9379783E+001, 4.1700613E+000, 3.0000000E+001, 2.0481248E+001, 2.0048615E+001, 2.1075420E+001
 9.6041275E+001, 1.9437357E+001, 4.2183782E+000, 3.0000000E+001, 2.0453234E+001, 2.0025056E+001, 2.0921481E+001
 9.6837749E+001, 1.9498997E+001, 4.2638431E+000, 3.0000000E+001, 2.0411562E+001, 2.0009728E+001, 2.0960962E+001
 9.7634222E+001, 1.9561587E+001, 4.2700891E+000, 3.0000000E+001, 2.0369474E+001, 2.0003976E+001, 2.1165874E+001
 9.8430696E+001, 1.9625216E+001, 4.2739280E+000, 3.0000000E+001, 2.0391635E+001, 2.0003591E+001, 2.1336263E+001
 9.9227169E+001, 1.9691232E+001, 4.2774859E+000, 3.0000000E+001, 2.0495327E+001, 2.0025298E+001, 2.1337300E+001
 1.0002364E+002, 1.9759958E+001, 4.2864930E+000, 3.0000000E+001, 2.0611222E+001, 2.0112062E+001, 2.1204308E+001
 1.0102024E+002, 1.9829823E+001, 4.2938925E+000, 3.0000000E+001, 2.0659891E+001, 2.0226366E+001, 2.1184663E+001
 1.0171866E+002, 1.9893780E+001, 4.3076753E+000, 3.0000000E+001, 2.0619866E+001, 2.0106984E+001, 2.1296032E+001
 1.0241708E+002, 1.9943860E+001, 4.3159954E+000, 3.0000000E+001, 2.0587916E+001, 2.0058965E+001, 2.1352125E+001
 1.0334831E+002, 1.9999302E+001, 4.3315902E+000, 3.0000000E+001, 2.0598070E+001, 2.0060570E+001, 2.1349013E+001
 1.0404673E+002, 2.0053441E+001, 4.3453428E+000, 3.0000000E+001, 2.0666211E+001, 2.0170753E+001, 2.1424442E+001
 1.0497796E+002, 2.0101589E+001, 4.3610455E+000, 3.0000000E+001, 2.0771815E+001, 2.0261886E+001, 2.1611382E+001
 1.0567638E+002, 2.0149096E+001, 4.3806050E+000, 3.0000000E+001, 2.0875291E+001, 2.0180768E+001, 2.1830267E+001
 1.0660761E+002, 2.0196592E+001, 4.3933463E+000, 3.0000000E+001, 2.0957644E+001, 2.0140675E+001, 2.2019609E+001
 1.0730603E+002, 2.0244798E+001, 4.4143414E+000, 3.0000000E+001, 2.1011318E+001, 2.0098109E+001, 2.2168675E+001
 1.0800445E+002, 2.0288644E+001, 4.4150413E+000, 3.0000000E+001, 2.1035853E+001, 2.0078601E+001, 2.2270841E+001
 1.0893568E+002, 2.0337975E+001, 4.4260987E+000, 3.0000000E+001, 2.1024984E+001, 2.0094701E+001, 2.2348544E+001
 1.0963410E+002, 2.0386016E+001, 4.4468019E+000, 3.0000000E+001, 2.0967503E+001, 2.0130481E+001, 2.2375356E+001
 1.1056533E+002, 2.0436160E+001, 4.4789477E+000, 3.0000000E+001, 2.0854016E+001, 2.0081698E+001, 2.2345501E+001
 1.1131031E+002, 2.0485600E+001, 4.5088129E+000, 3.0000000E+001, 2.0701692E+001, 2.0043166E+001, 2.2083259E+001
